,screen_name,timestamp,text,hashtags,has_media,likes,retweets,replies
0,ForumDiaspora,3/27/2019 8:26,The Diaspora African Forum is revved up for #YearofReturn. Get interactive with us. You can also visit our website http://www.diasporaafricanforum.org  for all the updates. #GhanaYearofReturn #DiasporaAfricanForum #AfricanUnion #Africa,"['YearofReturn', 'GhanaYearofReturn', 'DiasporaAfricanForum', 'AfricanUnion', 'Africa']",FALSE,0,0,0
1,adri16,3/3/2019 22:04,"The Nkyinkyim Za Festival, Ghana seeks creators and model volunteers from the Diaspora to continue work on  the creative endeavor, The Ancestor Project  @nii_kwatei @AncestorProject #Ghana #GhanaYearofReturn @kzshabazz @KamauRashid @AfricanaCarr @LamontLillypic.twitter.com/lXzxCrkcQP","['Ghana', 'GhanaYearofReturn']",TRUE,7,3,1
2,iarrcrelocation,2/25/2019 18:56,"AFRICAN CREATIVITY!

#africatotheworld #africa #travelersnotebook #relocationspecialist #african #traveldiscovery #africanamerican #diaspora #yearofreturn2019 #ghanayearofreturn #discoverafrica #return... https://www.facebook.com/621284678063994/posts/944896442369481/ …","['africatotheworld', 'africa', 'travelersnotebook', 'relocationspecialist', 'african', 'traveldiscovery', 'africanamerican', 'diaspora', 'yearofreturn2019', 'ghanayearofreturn', 'discoverafrica', 'return']",FALSE,0,0,0
3,iarrcrelocation,2/24/2019 11:01,"Splendid Ghana in all her glory!
#africatotheworld #africa #travelersnotebook #relocationspecialist #african #traveldiscovery #africanamerican #diaspora #yearofreturn2019 #ghanayearofreturn #discoverafrica... https://www.facebook.com/621284678063994/posts/944070489118743/ …","['africatotheworld', 'africa', 'travelersnotebook', 'relocationspecialist', 'african', 'traveldiscovery', 'africanamerican', 'diaspora', 'yearofreturn2019', 'ghanayearofreturn', 'discoverafrica']",FALSE,0,0,0
4,iarrcrelocation,2/12/2019 21:55,"Kiira EV Smack car manufactured in Uganda

#africatotheworld #africa #travelersnotebook #relocationspecialist #african #traveldiscovery #africanamerican #diaspora #yearofreturn2019 #ghanayearofreturn... https://www.facebook.com/621284678063994/posts/937323799793412/ …","['africatotheworld', 'africa', 'travelersnotebook', 'relocationspecialist', 'african', 'traveldiscovery', 'africanamerican', 'diaspora', 'yearofreturn2019', 'ghanayearofreturn']",FALSE,0,0,0
5,iarrcrelocation,2/10/2019 22:24,"The unique beauty and culture of Mozambique 

#africatotheworld #africa #travelersnotebook #relocationspecialist #african #traveldiscovery #africanamerican #diaspora #yearofreturn2019 #ghanayearofreturn... https://www.facebook.com/621284678063994/posts/936213609904431/ …","['africatotheworld', 'africa', 'travelersnotebook', 'relocationspecialist', 'african', 'traveldiscovery', 'africanamerican', 'diaspora', 'yearofreturn2019', 'ghanayearofreturn']",FALSE,0,0,0
6,iarrcrelocation,2/3/2019 2:28,"Explore the lovely vibe of Ethiopia!
#africatotheworld #africa #travelersnotebook #relocationspecialist #african #traveldiscovery #africanamerican #diaspora #yearofreturn2019 #ghanayearofreturn #discoverafrica... https://www.facebook.com/621284678063994/posts/931470107045448/ …","['africatotheworld', 'africa', 'travelersnotebook', 'relocationspecialist', 'african', 'traveldiscovery', 'africanamerican', 'diaspora', 'yearofreturn2019', 'ghanayearofreturn', 'discoverafrica']",FALSE,0,0,0
7,iarrcrelocation,2/2/2019 11:02,"The Beauty of Ethiopia
#africatotheworld #africa #travelersnotebook #relocationspecialist #african #traveldiscovery #africanamerican #diaspora #yearofreturn2019 #ghanayearofreturn #discoverafrica #return... https://www.facebook.com/621284678063994/posts/931053173753808/ …","['africatotheworld', 'africa', 'travelersnotebook', 'relocationspecialist', 'african', 'traveldiscovery', 'africanamerican', 'diaspora', 'yearofreturn2019', 'ghanayearofreturn', 'discoverafrica', 'return']",FALSE,0,0,0
8,iarrcrelocation,2/1/2019 9:30,"FOLLOW AND LIKE!!
Beautiful Mauritius, Africa!!
#africatotheworld #africa #travelersnotebook #relocationspecialist #african #traveldiscovery #africanamerican #diaspora #yearofreturn2019 #ghanayearofreturn... https://www.facebook.com/621284678063994/posts/930402613818864/ …","['africatotheworld', 'africa', 'travelersnotebook', 'relocationspecialist', 'african', 'traveldiscovery', 'africanamerican', 'diaspora', 'yearofreturn2019', 'ghanayearofreturn']",FALSE,0,0,0
9,Justgod007,2/1/2019 0:58,"The game didn’t change, the rules Just switched up a little....  #neverforget #africaishome #worldhistory #yearofthereturn #2019yearofthereturn #ghanayearofreturn #ghana2019yearofreturn https://www.instagram.com/p/BtUeUVSgYGE/?utm_source=ig_twitter_share&igshid=1t6c43jun2sfd …","['neverforget', 'africaishome', 'worldhistory', 'yearofthereturn', '2019yearofthereturn', 'ghanayearofreturn', 'ghana2019yearofreturn']",FALSE,0,0,0
